date,code,pcs_m,quantity,location
2017-10-27,G10,0.04,4,bodensee_steinach_dolder_a
2017-10-27,G152,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G25,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G50,0.02,2,bodensee_steinach_dolder_a
2017-09-30,G167,0.03,3,bodensee_steinach_dolder_a
2017-09-30,G82,0.13,12,bodensee_steinach_dolder_a
2017-09-30,G182,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G4,0.03,3,bodensee_steinach_dolder_a
2017-09-30,G125,0.04,4,bodensee_steinach_dolder_a
2017-09-30,G200,0.02,2,bodensee_steinach_dolder_a
2017-09-30,G10,0.02,2,bodensee_steinach_dolder_a
2017-09-30,G142,0.02,2,bodensee_steinach_dolder_a
2017-09-30,G26,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G153,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G33,0.03,3,bodensee_steinach_dolder_a
2017-09-30,G158,0.05,5,bodensee_steinach_dolder_a
2017-09-30,G67,0.18,17,bodensee_steinach_dolder_a
2017-09-30,G178,0.04,4,bodensee_steinach_dolder_a
2017-09-30,G3,0.13,12,bodensee_steinach_dolder_a
2017-09-30,G101,0.02,2,bodensee_steinach_dolder_a
2017-09-30,G198,0.02,2,bodensee_steinach_dolder_a
2017-09-30,G8,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G137,0.02,2,bodensee_steinach_dolder_a
2017-09-30,G23,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G152,0.02,2,bodensee_steinach_dolder_a
2017-09-30,G30,0.18,17,bodensee_steinach_dolder_a
2017-09-30,G156,0.07,6,bodensee_steinach_dolder_a
2017-09-30,G59,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G172,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G89,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G195,0.03,3,bodensee_steinach_dolder_a
2017-09-30,G7,0.04,4,bodensee_steinach_dolder_a
2017-09-30,G126,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G21,0.03,3,bodensee_steinach_dolder_a
2017-09-30,G147,0.01,1,bodensee_steinach_dolder_a
2017-09-30,G27,0.17,16,bodensee_steinach_dolder_a
2017-09-30,G154,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G24,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G83,0.03,3,bodensee_steinach_dolder_a
2017-08-30,G194,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G27,0.47,43,bodensee_steinach_dolder_a
2017-08-30,G125,0.02,2,bodensee_steinach_dolder_a
2017-08-30,G204,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G32,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G145,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G3,0.24,22,bodensee_steinach_dolder_a
2017-08-30,G50,0.03,3,bodensee_steinach_dolder_a
2017-08-30,G152,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G8,0.02,2,bodensee_steinach_dolder_a
2017-08-30,G71,0.02,2,bodensee_steinach_dolder_a
2017-08-30,G171,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G23,0.03,3,bodensee_steinach_dolder_a
2017-08-30,G82,0.04,4,bodensee_steinach_dolder_a
2017-08-30,G182,0.02,2,bodensee_steinach_dolder_a
2017-08-30,G26,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G101,0.08,7,bodensee_steinach_dolder_a
2017-08-30,G200,0.08,7,bodensee_steinach_dolder_a
2017-08-30,G31,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G138,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G49,0.02,2,bodensee_steinach_dolder_a
2017-08-30,G151,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G7,0.09,8,bodensee_steinach_dolder_a
2017-08-30,G67,0.05,5,bodensee_steinach_dolder_a
2017-08-30,G158,0.08,7,bodensee_steinach_dolder_a
2017-08-30,G21,0.05,5,bodensee_steinach_dolder_a
2017-08-30,G80,0.04,4,bodensee_steinach_dolder_a
2017-08-30,G176,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G25,0.07,6,bodensee_steinach_dolder_a
2017-08-30,G90,0.01,1,bodensee_steinach_dolder_a
2017-08-30,G198,0.02,2,bodensee_steinach_dolder_a
2017-08-30,G30,0.36,33,bodensee_steinach_dolder_a
2017-08-30,G137,0.02,2,bodensee_steinach_dolder_a
2017-08-30,G208,0.07,6,bodensee_steinach_dolder_a
2017-08-30,G33,0.05,5,bodensee_steinach_dolder_a
2017-08-30,G147,0.04,4,bodensee_steinach_dolder_a
2017-08-30,G4,0.27,25,bodensee_steinach_dolder_a
2017-08-30,G66,0.03,3,bodensee_steinach_dolder_a
2017-08-30,G153,0.04,4,bodensee_steinach_dolder_a
2017-08-30,G10,0.04,4,bodensee_steinach_dolder_a
2017-08-30,G79,0.05,5,bodensee_steinach_dolder_a
2017-08-30,G175,0.17,16,bodensee_steinach_dolder_a
2017-07-31,G10,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G145,0.01,1,bodensee_steinach_dolder_a
2017-07-31,G24,0.01,1,bodensee_steinach_dolder_a
2017-07-31,G182,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G30,0.26,24,bodensee_steinach_dolder_a
2017-07-31,G200,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G67,0.03,3,bodensee_steinach_dolder_a
2017-07-31,G3,0.16,15,bodensee_steinach_dolder_a
2017-07-31,G82,0.04,4,bodensee_steinach_dolder_a
2017-07-31,G8,0.01,1,bodensee_steinach_dolder_a
2017-07-31,G137,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G23,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G175,0.1,9,bodensee_steinach_dolder_a
2017-07-31,G27,0.27,25,bodensee_steinach_dolder_a
2017-07-31,G198,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G49,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G208,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G80,0.04,4,bodensee_steinach_dolder_a
2017-07-31,G7,0.05,5,bodensee_steinach_dolder_a
2017-07-31,G101,0.08,7,bodensee_steinach_dolder_a
2017-07-31,G21,0.03,3,bodensee_steinach_dolder_a
2017-07-31,G153,0.01,1,bodensee_steinach_dolder_a
2017-07-31,G25,0.04,4,bodensee_steinach_dolder_a
2017-07-31,G194,0.01,1,bodensee_steinach_dolder_a
2017-07-31,G33,0.02,2,bodensee_steinach_dolder_a
2017-07-31,G204,0.01,1,bodensee_steinach_dolder_a
2017-07-31,G71,0.01,1,bodensee_steinach_dolder_a
2017-07-31,G4,0.2,18,bodensee_steinach_dolder_a
2017-07-31,G90,0.01,1,bodensee_steinach_dolder_a
2017-06-29,G4,0.29,27,bodensee_steinach_dolder_a
2017-06-29,G137,0.01,1,bodensee_steinach_dolder_a
2017-06-29,G13,0.02,2,bodensee_steinach_dolder_a
