location,date,total
sitter_stgallen_jennya,2017-04-09,2.04
sitter_stgallen_jennya,2017-05-28,0.95
sitter_stgallen_jennya,2017-06-25,2.95
sitter_stgallen_jennya,2017-07-22,1.61
sitter_stgallen_jennya,2017-08-13,1.15
sitter_stgallen_jennya,2017-09-28,1.57
sitter_stgallen_jennya,2017-10-28,0.4
sitter_stgallen_jennya,2017-12-31,1.03
sitter_stgallen_jennya,2018-01-28,3.67
sitter_stgallen_jennya,2018-03-30,2.21
sihl_zuerich_eggerskoehlingera,2017-04-09,2.46
sihl_zuerich_eggerskoehlingera,2017-05-11,0.63
sihl_zuerich_eggerskoehlingera,2017-06-26,1.48
sihl_zuerich_eggerskoehlingera,2017-07-24,1.76
sihl_zuerich_eggerskoehlingera,2017-08-29,1.29
sihl_zuerich_eggerskoehlingera,2017-09-28,0.91
sihl_zuerich_eggerskoehlingera,2017-10-26,0.91
sihl_zuerich_eggerskoehlingera,2017-11-30,1.37
